TransactionID,AccountID,TransactionAmount,TransactionDate,TransactionType,Location,DeviceID,IP Address,MerchantID,Channel,CustomerAge,CustomerOccupation,TransactionDuration,LoginAttempts,AccountBalance,PreviousTransactionDate,PrevTxn,TimeDiff,LogTimeDiff,HighLoginAttempts,FastTransaction,RapidTransactions,HighAmount,Fraud,Explanation
TX000694,AC00011,733.29,2023-03-15 18:42:00,Debit,Virginia Beach,D000618,16.51.235.240,M032,ATM,52,Doctor,94,5,10427.0,04-11-2024 08:07,,0.0,0.0,1,0,1,1,1,"multiple login attempts, rapid transactions, high amount"
TX001498,AC00018,1228.81,2023-02-20 16:36:00,Debit,San Francisco,D000381,63.191.171.41,M034,ATM,26,Student,254,1,1821.0,04-11-2024 08:09,,0.0,0.0,0,0,1,1,1,"rapid transactions, high amount"
TX001802,AC00018,331.32,2023-06-05 17:24:00,Debit,Sacramento,D000334,200.164.13.160,M078,Branch,61,Doctor,137,5,13054.54,04-11-2024 08:07,2023-02-20 16:36:00,9074880.0,16.021020825081553,1,0,0,0,1,multiple login attempts
TX001471,AC00024,820.46,2023-04-03 16:22:00,Credit,Fort Worth,D000185,89.21.156.229,M041,Online,53,Engineer,243,1,5621.86,04-11-2024 08:10,,0.0,0.0,0,0,1,1,1,"rapid transactions, high amount"
TX002125,AC00039,737.46,2023-01-03 16:28:00,Credit,Albuquerque,D000443,202.194.199.70,M037,Branch,53,Doctor,75,4,634.16,04-11-2024 08:07,,0.0,0.0,1,0,1,1,1,"multiple login attempts, rapid transactions, high amount"
TX001073,AC00045,1074.29,2023-01-05 16:43:00,Debit,Portland,D000147,138.210.196.19,M081,Branch,67,Retired,79,1,2011.6,04-11-2024 08:11,,0.0,0.0,0,0,1,1,1,"rapid transactions, high amount"
TX000467,AC00063,445.41,2023-11-20 16:27:00,Debit,Fresno,D000039,185.23.87.107,M015,ATM,35,Doctor,235,3,12154.66,04-11-2024 08:08,2023-11-03 18:44:00,1460580.0,14.194344859730805,1,0,0,0,1,multiple login attempts
TX000899,AC00083,1531.31,2023-10-23 18:00:00,Debit,San Diego,D000319,91.204.200.167,M078,Online,18,Student,62,4,859.86,04-11-2024 08:06,2023-08-22 16:34:00,5361960.0,15.494840324346145,1,0,0,1,1,"multiple login attempts, high amount"
TX002262,AC00086,340.13,2023-02-06 17:23:00,Debit,Mesa,D000203,165.35.58.173,M029,Branch,24,Student,32,3,1149.74,04-11-2024 08:11,,0.0,0.0,1,0,1,0,1,"multiple login attempts, rapid transactions"
TX000773,AC00093,827.14,2023-01-17 17:25:00,Debit,El Paso,D000645,215.97.143.157,M018,Branch,36,Engineer,265,4,9800.21,04-11-2024 08:08,,0.0,0.0,1,0,1,1,1,"multiple login attempts, rapid transactions, high amount"
