customer_id,age,annual_income,months_active,avg_monthly_spend,purchase_frequency,avg_order_value,discount_usage_rate,return_rate,browsing_time_minutes,support_interactions,payment_method,region,customer_segment
33554,53,100473,63,121,1,67,0.1,0,77,2,Card,Semi-Urban,Occasional
9428,54,54731,67,573,3,137,0.3,0.4,92,2,Wallet,Urban,Occasional
200,44,58268,57,267,3,72,0.3,0,155,1,UPI,Rural,Occasional
12448,54,64830,40,691,6,106,0.1,0.4,114,0,Wallet,Rural,High_Value
39490,28,27431,15,833,1,355,0.4,0,50,1,Card,Semi-Urban,Occasional
42725,67,13511,49,212,1,93,0.4,0.2,131,1,UPI,Semi-Urban,Occasional
10823,50,66877,60,453,3,103,0.1,0,191,2,Card,Rural,Occasional
49499,64,,59,194,2,64,0.2,0.1,7,1,Card,Rural,Occasional
4145,46,62196,53,275,0,201,0.3,0.2,23,1,UPI,Urban,Occasional
36959,50,34685,39,926,6,140,0.2,0.2,22,3,Wallet,Rural,High_Value
43107,45,60651,10,520,1,301,0.5,0.1,86,2,Card,Rural,Occasional
38696,64,85521,64,156,6,22,0.3,0.1,127,2,Card,Urban,Loyal
6189,38,40271,60,59,3,14,0.3,0.3,73,0,Card,Semi-Urban,Regular
1415,25,16281,48,72,,19,0.1,0.4,102,1,Card,Semi-Urban,Regular
18472,45,,68,214,4,47,0.1,0.1,31,1,Wallet,Semi-Urban,Regular
29283,48,36535,72,160,4,33,0.4,0.1,97,0,UPI,Urban,Regular
15178,53,29415,28,167,1,71,0.1,0.2,8,1,Card,Urban,Occasional
34305,39,33534,31,1393,6,196,0.2,0,78,1,Card,Urban,Occasional
12610,23,34948,61,322,4,59,0.4,0,64,1,UPI,Urban,Loyal
12145,26,29991,22,164,,20,,0.3,,3,Card,Urban,Regular
6114,48,87829,24,170,5,26,0.2,0.2,28,0,UPI,Urban,Regular
15909,23,14064,37,113,9,11,0.1,0.2,36,1,UPI,Urban,Loyal
822,47,21966,72,352,7,43,0.1,0.2,,2,Card,Urban,High_Value
15119,58,25274,67,69,4,15,0.4,0.1,34,3,Card,Semi-Urban,Regular
13467,34,46090,39,65,8,8,0.5,0.1,53,3,UPI,Urban,Loyal
26498,49,63912,44,123,2,43,0.5,,37,2,Card,Urban,Regular
42112,60,55489,27,612,2,197,0.1,0.2,29,2,Card,Urban,Occasional
30189,40,66452,13,402,2,123,0.3,0,94,1,UPI,Rural,Occasional
37238,39,47551,44,193,5,34,0,0.1,60,2,UPI,Rural,Loyal
33110,44,27956,11,304,4,65,0.2,0.1,95,1,Card,Semi-Urban,Occasional
36481,65,58617,71,280,6,38,0.4,0.3,19,1,UPI,Rural,Loyal
24149,57,32306,64,418,8,49,0.5,0.2,,,UPI,Urban,Loyal
5504,62,28654,56,288,1,127,0.5,0.1,11,0,UPI,Rural,Occasional
3919,61,33729,24,196,11,17,0.3,0.1,89,1,Card,Urban,Regular
38479,35,65021,52,428,,93,0.4,0.2,111,,UPI,Rural,Regular
21124,23,43355,57,192,2,64,0.4,,89,1,Card,Urban,Regular
49718,22,41713,46,461,3,119,0.7,0.1,9,1,Card,Rural,Occasional
42295,64,51542,58,566,5,96,0.4,0.3,41,0,UPI,Urban,High_Value
47610,22,,36,393,6,59,0.1,0,37,5,UPI,Urban,Occasional
11077,54,61787,5,820,2,275,0.1,0.2,102,5,Card,Urban,Occasional
41515,50,28020,14,345,1,140,0.5,0.1,14,0,Card,Rural,Occasional
22063,44,46057,10,234,2,71,0.4,0.1,89,4,Card,Semi-Urban,Occasional
9414,56,22224,14,249,4,45,0.3,0.3,24,2,Card,Rural,Occasional
38341,52,12442,25,245,3,55,0.1,0.2,69,3,UPI,Semi-Urban,Occasional
30264,24,98972,37,681,1,280,0.3,0.1,213,1,Card,Urban,Occasional
41253,56,46652,31,118,3,32,0.1,0.4,97,2,Card,Semi-Urban,Occasional
14645,40,60448,47,542,5,91,0.5,,,0,Wallet,Rural,Loyal
26336,49,17672,33,139,3,31,0.3,0.2,58,1,Card,Semi-Urban,Regular
28103,33,46440,29,,3,90,0.2,0,15,0,Card,Rural,Occasional
17524,35,36722,18,223,2,86,0.1,0.1,61,1,Card,Rural,Occasional
24713,41,9359,33,167,5,27,0.4,0,,1,Card,Urban,Loyal
40486,43,25661,69,109,1,52,0.5,0,53,1,Wallet,Urban,Loyal
3851,36,127648,52,402,7,53,0.2,,67,1,Card,Urban,Loyal
40041,59,20413,24,493,2,157,0.4,0.1,60,2,Wallet,Urban,Occasional
15268,65,32910,51,205,3,56,0.2,0.1,,1,UPI,Urban,Regular
49147,42,23822,36,536,2,189,0.4,0.1,29,0,Card,Rural,Occasional
30002,19,19933,64,434,1,179,0.1,0.3,36,0,Card,Rural,Regular
45927,59,32528,65,379,4,74,0.3,0.2,37,4,Card,Urban,Occasional
43825,34,49468,38,320,8,37,0.1,0.1,31,2,UPI,Urban,High_Value
17241,27,75760,17,207,4,43,0.2,0.1,63,1,Card,Rural,Regular
4893,64,13170,30,294,4,64,0.2,0,52,1,UPI,Semi-Urban,Occasional
726,61,37619,34,388,11,33,0.2,0.4,51,0,Card,Urban,Regular
22950,43,58474,2,278,4,56,0.3,0.2,42,2,Card,Rural,Regular
34658,46,33704,62,259,3,62,0.3,0.2,69,2,Card,Urban,Regular
37214,21,44516,61,173,3,39,0.6,0,48,0,Card,Rural,Occasional
20305,63,43111,69,,4,60,0.1,0.1,57,,UPI,Rural,Loyal
15270,64,66632,55,490,6,69,0.3,0.3,69,0,UPI,Rural,High_Value
22368,56,18897,14,360,9,35,0.4,0.1,15,1,Card,Urban,Regular
42685,61,35736,33,143,4,29,0.5,0.1,7,1,UPI,Rural,Occasional
46735,27,44907,47,513,6,75,0.2,0,65,1,Card,Semi-Urban,High_Value
11733,66,64187,16,934,0,652,0.1,0.2,140,1,Wallet,Urban,Occasional
18620,43,43212,71,605,11,50,0.6,0,18,2,Wallet,Semi-Urban,High_Value
48493,42,,6,209,5,35,0.3,0.2,49,2,Card,Urban,Regular
26804,52,,20,152,7,19,0.3,,22,2,UPI,Semi-Urban,Regular
44306,45,,72,296,,65,0.5,0.2,31,,Card,Urban,Regular
47523,56,76130,64,438,5,79,0.2,0.3,38,,Card,Urban,High_Value
32208,54,26888,8,258,1,108,0.1,0.1,12,1,Wallet,Urban,Occasional
